university_id,school,subs
580,Glasgow Medical School,13
351,Deccan College of Medical Sciences,13
546,University of Birmingham Medical School,13
545,Barts and The London School of Medicine and Dentistry,13
2748,Temple University,13
770,Tbilisi State Medical University,13
543,Aston Medical School,13
492,Instituto Tecnológico de Santo Domingo Escuela de Medicina,13
122,"Travancore Medical College Hospital, Kollam",13
2703,Case Western Reserve University,13
730,University of Copenhagen School of Health and Medical Sciences,13
207,All India Institute of Medical Sciences,12
349,Bhaskar Medical College,12
146,"Bharati Vidyapeeth Deemed University Medical College and Hospital, Pune",12
569,Oxford University Medical School,12
507,New York Medical University (NYMU),12
531,University of the West Indies Faculty of Medicine (Cave Hill),12
498,Universidad Central del Este Escuela de Medicina,11
645,University of Jordan School of Medicine,11
773,Lithuanian University of Health Sciences,11
2498,University of California Berkeley,11
216,"University of Notre Dame School of Medicine, Sydney",10
686,Semmelweis University Medicine and Health Sciences,10
3348,Kansas College of Osteopathic Medicine,10
618,Universidad Peruana Cayetano Heredia,10
422,"School of Medical Sciences & Research (SMSR), Sharda University, Greater Noida",10
557,Keele University School of Medicine,10
260,Cleveland Clinic Lerner College of Medicine,10
2673,New York University,9
2693,University of Pennsylvania,9
582,Cardiff University School of Medicine,9
567,University of Nottingham Medical School,9
561,Leeds School of Medicine,9
148,"Dr. D. Y. Patil Medical College, Hospital & Research Centre, Kohlapur",9
300,Université de Montréal Faculté de Médecine,9
218,Memorial University of Newfoundland Faculty of Medicine,9
293,Dayanand Medical College,9
508,St. Martinus University Faculty of Medicine,9
298,Université Laval Faculté de Médecine,9
283,Jawaharlal Institute of Postgraduate Medical Education and Research,9
437,Deakin University School of Medicine,9
2594,Johns Hopkins University,8
1983,The Touro College and University System,8
529,International University of Barbados School of Medicine,8
371,"Mediciti Institute Of Medical Sciences, Ghanpur",8
294,"Government Medical College, Amritsar",8
304,James Cook University School of Medicine and Dentistry,8
468,"University of Notre Dame School of Medicine, Fremantle",8
2571,Florida International University,8
374,"Prathima Institute of Medical Sciences, Karimnagar",8
677,Universidad del Rosario School of Medicine and Health Sciences,8
622,Tec de Monterrey School of Medicine and Health Sciences,8
673,Tongji University School of Medicine,8
163,"Indira Gandhi Government Medical College, Nagpur",8
660,International American University College of Medicine,8
564,Liverpool Medical School,8
506,John F. Kennedy University School of Medicine,8
495,Universidad Autónoma de Santo Domingo Departamento de Medicina,8
346,University of Tasmania School of Medicine,8
297,"Punjab Institute of Medical Sciences, Jalandhar",8
558,Kent and Medway Medical School,7
384,Agartala Government Medical College,7
624,Barry University,7
442,Bankura Sammilani Medical College,7
324,Flinders University School of Medicine,7
373,Osmania Medical College,7
719,University of Auckland School of Medicine,7
2770,University of California Irvine,7
721,Touro University Nevada,7
562,Leicester Medical School,7
2787,University of Florida,7
584,Queen's University Belfast Medical School,7
355,Gandhi Medical College,7
488,Texila American University,7
2759,University of Alabama at Birmingham,7
348,Ayaan Institute of Medical Sciences,6
133,"All India Institute of Medical Science, Bhopal (AIIMS-Bhopal)",6
215,Western Sydney University,6
479,Université Notre Dame d'Haïti Faculté de Médecine,6
236,New York University Long Island School of Medicine,6
663,University of Santo Tomas Faculty of Medicine and Surgery,6
469,University of Western Australia School of Medicine,6
588,Narayana Medical College,6
350,"Chalmeda Anand Rao Institute of Medical Sciences, Karimnagar",6
3347,Mohammed Bin Rashid University,6
2779,University of California San Diego,6
338,"Madurai Medical College, Madurai",6
555,Hull York Medical School,6
581,University of St Andrews School of Medicine,6
570,Plymouth University Peninsula Schools of Medicine and Dentistry,6
1831,University of Newcastle,6
448,Diamond Harbour Government Medical College and Hospital,6
165,"King Edward Memorial Hospital and Seth Gordhandas Sunderdas Medical College, Parel, Mumbai",6
301,Université de Sherbrooke Faculté de Médecine et des Sciences de la Santé,6
769,University of Tartu School of Medicine,6
284,"Mahatma Gandhi Medical College & Research Institute, Kirumampakkam, Pondicherry",6
688,Wayne State University,5
376,"Rajiv Gandhi Institute of Medical Sciences, Adilabad",5
578,"University of Dundee, School of Medicine",5
100,"Government Medical College, Kottayam",5
49,University of Alberta Faculty of Medicine and Dentistry,5
342,"Stanley Medical College, Royapuram, Chennai",5
450,"Dr B C Roy Institute of Medical Sciences & Research, IIT Kharagpur",5
323,University of Adelaide Medical School,5
2769,University of California Davis,5
2504,Brown University,5
1740,University of Mississippi Medical Center,5
540,Metropolitan University College Of Medicine,5
1253,Broward College,5
1929,University of Nevada Las Vegas,5
602,University of Pretoria School of Medicine,5
336,"Kilpauk Medical College, Chetput",5
547,Bristol Medical School,5
2917,Western Governors University,5
2825,University of Texas at Austin,5
710,Jordan University of Science and Technology School of Medicine,5
2711,University of Southern California,5
875,Butler University College of Pharmacy and Health Sciences,5
370,"Mamata Medical College, Khammam",5
583,Swansea University Medical School,4
496,Universidad Católica Nordestana Facultad de Ciencias Medicas,4
426,AIIMS Rishikesh,4
170,"R.C.S.M. Govt Medical College and CPR Hospital, Kolhapur",4
2656,Northeastern University,4
2854,Western Michigan University,4
143,"Armed Forces Medical College, Pune",4
1584,Johns Hopkins Bloomberg School of Public Health,4
2576,Florida State University,4
2486,Arizona State University,4
707,Wake Forest University (Bowman Gray),4
711,Universidad San Martin de Porres Faculty of Medicine,4
430,"Swami Rama Himalayan University, Doiwala (adjacent to Jolly Grant/Dehradun Airport), Dehradun",4
2624,Liberty University,4
107,"Jubilee Mission Medical College and Research Institute, Thrissur",4
2542,Clemson University,4
712,University of Nebraska Medical Center,4
955,University of Texas at Austin College of Pharmacy,4
213,Vardhman Mahavir Medical College,4
835,California Northstate University College of Pharmacy,4
337,"Madras Medical College, Chennai",4
177,Jawaharlal Nehru Institute of Medical Sciences,4
554,University of Exeter Medical School,4
528,Bridgetown International University,4
2303,University of Houston Clear Lake,4
308,"Geetanjali Medical College, Udaipur",4
1541,Harvard University,4
1834,University of Wollongong,4
2591,Georgetown University,4
2679,Oklahoma State University,4
572,Sheffield Medical School,4
489,University of Guyana,4
2861,West Virginia University,3
577,University of Aberdeen School of Medicine,3
639,Mercer University,3
369,Mamata Academy of Medical Sciences,3
684,Cairo University KasrAlAiny School of Medicine,3
410,"King George's Medical University (KGMU), Lucknow, formerly known as Chhatrapati Shahuji Maharaj Medical University, Lucknow",3
120,"Sree Narayana Institute of Medical Sciences, Ernakulam",3
804,"University of North Texas Health Science Center, Fort Worth",3
142,"All India Institute of Medical Sciences, Nagpur",3
871,Roosevelt University College of Pharmacy,3
327,"Coimbatore Medical College, Coimbatore",3
211,Maulana Azad Medical College,3
2791,University of Illinois at Chicago,3
847,Western University of Health Sciences College of Pharmacy,3
815,Concordia University,3
574,University of Sunderland School of Medicine,3
2951,Chaminade University of Honolulu,3
292,"Christian Medical College, Ludhiana",3
539,Atlantic University School of Medicine,3
793,Christian Brothers University,3
1897,University of Nevada Reno,3
544,Anglia Ruskin School of Medicine,3
2159,University of Queensland,3
249,"Institute of Medical Sciences and Sum Hospital, Bhubaneswar",3
104,"Government Medical College, Thiruvananthapuram",3
523,Central America Health Sciences University Belize Medical College,3
487,Rajiv Gandhi University of Science and Technology School of Medicine,3
2227,Alamo Colleges,3
108,"Kannur Medical College, Kannur",3
121,"SUT Medical College, Thiruvananthapuram",3
2857,Wright State University,3
548,Brighton and Sussex Medical School,3
208,Army College of Medical Sciences,3
269,Northern Ontario School of Medicine,3
2819,University of South Dakota,3
306,"All India Institute of Medical Sciences, Jodhpur",3
112,"Malabar Medical College, Kozhikode",3
2821,University of South Florida,3
824,West Liberty University,3
969,Marshall University School of Pharmacy,3
359,"Government Medical College, Siddipet",3
2522,University of South Carolina,3
963,Virginia Commonwealth University School of Pharmacy,3
296,"Guru Gobind Singh Medical College, Faridkot",3
326,"Christian Medical College, Vellore",3
735,"Pace University, Lenox Hill Hospital",3
